Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Treadmill Running,2019-04-12 06:22:04,false,"Treadmill Running","5.04","265","00:30:10","125","137","2.3","170","200","5:59","5:05","--","--","0.98","0.0","0.0","--","--","0.0","0.0","0.0","0:00","25.0","0:00","No","00:12.37","6","0.0"
Treadmill Running,2019-04-11 06:16:44,false,"Treadmill Running","5.01","344","00:30:12","147","167","3.6","168","176","6:02","5:32","--","--","0.99","0.0","0.0","--","--","0.0","0.0","0.0","0:00","24.0","0:00","No","00:02.65","6","0.0"
Running,2019-04-07 07:36:39,false,"San Mateo County Running","10.07","616","00:57:13","142","158","4.0","175","192","5:41","5:02","20","28","1.01","0.0","0.0","--","--","0.0","0.0","0.0","0:00","18.0","0:00","No","00:22.31","11","0.0"
Running,2019-04-05 06:49:54,false,"San Francisco Running","5.13","328","00:30:52","144","166","3.5","176","194","6:01","2:48","8","9","0.95","0.0","0.0","--","--","0.0","0.0","0.0","0:00","17.0","0:00","No","00:42.53","6","0.0"
Running,2019-03-30 09:03:17,false,"Lexington Running","21.10","1,605","02:08:43","163","182","5.0","175","188","6:06","4:27","338","320","0.93","0.0","0.0","--","--","0.0","0.0","0.0","0:00","17.0","0:00","No","00:26.10","22","0.0"
Running,2019-03-24 08:50:50,false,"Santa Clara County Running","5.43","416","00:58:30","120","167","3.3","121","250","10:46","6:43","185","186","0.78","0.0","0.0","--","--","0.0","0.0","0.0","0:00","16.0","0:00","No","04:50.73","6","0.0"
Running,2019-03-23 08:25:36,false,"San Francisco Running","6.10","448","00:34:42","162","187","4.5","176","190","5:41","4:19","11","10","1.00","0.0","0.0","--","--","0.0","0.0","0.0","0:00","17.0","0:00","No","00:38.57","7","0.0"
Running,2019-03-14 06:33:53,false,"San Francisco - Running","4.09","242","00:24:34","132","142","2.6","178","187","6:00","5:33","6","5","0.94","0.0","0.0","--","--","0.0","0.0","0.0","0:00","16.0","0:00","No","00:32.95","5","0.0"
Running,2019-03-13 06:18:43,false,"San Francisco - Running","6.13","325","00:35:15","130","145","2.6","176","191","5:45","1:47","11","13","0.99","0.0","0.0","--","--","0.0","0.0","0.0","0:00","16.0","0:00","No","00:46.98","7","0.0"
Running,2019-03-11 07:20:14,false,"Philadelphia - Running","4.16","262","00:23:22","147","197","3.4","172","190","5:37","4:18","13","15","1.04","0.0","0.0","--","--","0.0","0.0","0.0","0:00","13.0","0:00","No","00:49.81","5","0.0"
Running,2019-03-09 15:36:40,false,"Philadelphia - Running","8.11","525","00:47:46","149","169","3.9","173","193","5:53","4:34","45","40","0.98","0.0","0.0","--","--","0.0","0.0","0.0","0:00","16.0","0:00","No","00:36.24","9","0.0"
Running,2019-02-28 06:29:24,false,"San Francisco Running","5.09","262","00:33:47","115","127","1.9","174","217","6:38","5:04","2","2","0.87","0.0","0.0","--","--","0.0","0.0","0.0","0:00","16.0","0:00","No","06:15.65","6","0.0"
Running,2019-02-24 08:06:47,false,"Mountain View Running","13.02","790","01:09:36","150","165","5.0","179","190","5:21","4:54","32","34","1.04","0.0","0.0","--","--","0.0","0.0","0.0","0:00","16.0","0:00","No","05:07.79","14","0.0"
